1.10065853,0.44030115,0.85383198,0.19471526,0.0370947,0.11800205
0.81475964,0.37173689,1.22721623,0.3978769,0.24437427,0.01559918
0.78058656,0.55831072,2.89586044,0.39140481,0.18336273,0.28807121
0.83083978,0.60765265,2.86792007,0.23773171,0.3370626,0.68670671
1.07073814,0.2556322,0.82998085,0.059127,0.23681022,0.17621581
1.02102441,0.68328947,2.60381585,0.40937045,0.15897079,0.42689927
0.56865522,0.6228063,2.20851874,0.17167791,0.2125728,0.08208955
0.53648508,0.45089289,1.77412615,0.41549314,0.19058398,0.3837976
1.1686738,0.51313539,0.67245773,0.13142546,0.05659779,0.10996141
0.54845993,0.89805984,1.42729896,0.50761805,0.33402222,0.46817337
1.09167378,0.86038492,1.58387853,0.12919641,0.3079449,0.08944458
0.72306335,0.78847002,0.87516635,0.38033941,0.01980008,0.25055043
1.22328042,0.60557582,0.24447603,0.34626827,0.03907349,0.70348171
0.86288258,0.56688957,2.5633368,0.23469831,0.1661125,0.52813724
0.55516662,0.50272427,0.07884155,0.34692365,0.23059776,0.56378208
1.25606864,0.48884699,1.20511022,0.3105416,0.22939599,0.260613
1.05132661,0.67320779,2.43002513,0.39716224,0.16580911,0.53857074
1.04014256,0.5026332,0.76261479,0.00113785,0.15997984,0.66813712
0.75378131,0.2715531,0.87584765,0.35561674,0.1606789,0.18365247
0.45948702,0.79915175,0.80246332,0.2896949,0.24613787,0.27805554
1.21699328,0.43641553,2.15677052,0.22998075,0.13113548,0.00667555
0.7338334,0.79560407,0.41971689,0.01090094,0.30239045,0.69643941
1.02223473,0.64292749,1.10201212,0.3682185,0.33547833,0.00383514
0.90916838,0.41561615,1.95982462,0.08741193,0.09086089,0.45012642
1.10868599,0.46934771,1.23501438,0.53590158,0.16102298,0.43576078
1.25942996,0.64264448,2.4051956,0.11871458,0.01010265,0.606829
0.62444837,0.70830485,2.30114791,0.24397461,0.27974626,0.39096466
0.57492574,0.42751784,1.48531075,0.47896011,0.08538686,0.35418613
0.81443329,0.89992917,2.85805594,0.13555682,0.23922517,0.28665574
